config	codepoints	kinds	matched_entry	baseline	new
default	E668:0020:E652:E653	cell	boundary-echo	qsRoe|space|qsTea.ex-y0|qsDay.half.en-y0.ex-y0.en-ext-1	qsRoe/hapax/None/None/|space/boundary/None/None/|qsTea/full/None/baseline/|qsDay/half/baseline/None/en-ext-1
default	E668:0020:E653:E652	cell	boundary-echo	qsRoe|space|qsDay|qsTea.en-y0	qsRoe/hapax/None/None/|space/boundary/None/None/|qsDay/full/None/baseline/|qsTea/full/baseline/None/
default	E668:0020:E653:E653	cell	boundary-echo	qsRoe|space|qsDay|qsDay.half.en-y0.ex-y0	qsRoe/hapax/None/None/|space/boundary/None/None/|qsDay/full/None/baseline/|qsDay/half/baseline/None/
default	E668:0020:E653:E668	cell	boundary-echo	qsRoe|space|qsDay|qsRoe	qsRoe/hapax/None/None/|space/boundary/None/None/|qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/
default	E668:0020:E668:E668	cell	boundary-echo	qsRoe|space|qsRoe.en-y0.ex-y5|qsRoe	qsRoe/hapax/None/None/|space/boundary/None/None/|qsRoe/hapax/None/x-height/|qsRoe/hapax/x-height/None/
default	E668:00B7:E650:E650	cell	dangling-anchor-dropped	qsRoe|periodcentered|qsPea.half.en-y6.ex-y6|qsPea.en-y6	qsRoe/hapax/None/None/|namer-dot/boundary/None/None/|qsPea/half/None/y6/|qsPea/full/y6/None/
default	E668:00B7:E650:E653	cell	dangling-anchor-dropped	qsRoe|periodcentered|qsPea|qsDay.half.en-y0.ex-y0	qsRoe/hapax/None/None/|namer-dot/boundary/None/None/|qsPea/full/None/baseline/|qsDay/half/baseline/None/
default	E668:00B7:E652:E653	cell	dangling-anchor-dropped	qsRoe|periodcentered|qsTea.ex-y0|qsDay.half.en-y0.ex-y0.en-ext-1	qsRoe/hapax/None/None/|namer-dot/boundary/None/None/|qsTea/full/None/baseline/|qsDay/half/baseline/None/en-ext-1
default	E668:00B7:E653:E652	cell	bare-name-live-join	qsRoe|periodcentered|qsDay|qsTea.en-y0	qsRoe/hapax/None/None/|namer-dot/boundary/None/None/|qsDay/full/None/baseline/|qsTea/full/baseline/None/
default	E668:00B7:E653:E653	cell	dangling-anchor-dropped	qsRoe|periodcentered|qsDay|qsDay.half.en-y0.ex-y0	qsRoe/hapax/None/None/|namer-dot/boundary/None/None/|qsDay/full/None/baseline/|qsDay/half/baseline/None/
default	E668:00B7:E653:E668	cell	bare-name-live-join	qsRoe|periodcentered|qsDay|qsRoe	qsRoe/hapax/None/None/|namer-dot/boundary/None/None/|qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/
default	E668:00B7:E668:E668	cell	dangling-anchor-dropped	qsRoe|periodcentered.lowered|qsRoe.en-y0.ex-y5|qsRoe	qsRoe/hapax/None/None/|namer-dot/boundary/None/None/|qsRoe/hapax/None/x-height/|qsRoe/hapax/x-height/None/
