# Benign isolation-leak census at depth 4. Generated by `make leak-snapshot`; do not hand-edit.
# The welcome faux-organic variation (subtractive trims, standalone-variant swaps, cosmetic tucks). Any change is surfaced for review.
# Each line: <example sequence> [break N] :: <glyph diff>. See doc/definitions/shaping-leakage.md.
# count: 247

See Out Tea Oy [break 1] :: *L qsOut.en-y0.after-see.en-trim-1->qsOut_qsTea.after-see | *R qsTea_qsOy->qsOut_qsTea.after-see
Out Tea It Ah [break 1] ::  L qsOut_qsTea->qsOut_qsTea | *R qsIt.ex-y0->qsIt
Out Tea It Awe [break 1] ::  L qsOut_qsTea->qsOut_qsTea | *R qsIt.ex-y5->qsIt
Out Tea Jai Ah [break 1] ::  L qsOut_qsTea->qsOut_qsTea | *R qsJai.ex-y0->qsJai
Out Tea May Day [break 1] ::  L qsOut_qsTea->qsOut_qsTea | *R qsMay.ex-ext-1->qsMay
Out Tea May Ah [break 1] ::  L qsOut_qsTea->qsOut_qsTea | *R qsMay.ex-y0->qsMay
Out Tea No Ah [break 1] ::  L qsOut_qsTea->qsOut_qsTea | *R qsNo.alt.en-y0.ex-y0->qsNo
Out Tea Roe Awe [break 1] ::  L qsOut_qsTea->qsOut_qsTea | *R qsRoe.en-y0.ex-y5->qsRoe
Out Tea Roe No [break 1] ::  L qsOut_qsTea->qsOut_qsTea | *R qsRoe.en-y0.ex-y5->qsRoe.ex-y0
Ox He No Ah [break 0] ::  L qsOx->qsOx | *R qsHe.half.ex-y5->qsHe.ex-y0
Ox Tea No Ah [break 0] ::  L qsOx->qsOx | *R qsTea.half.ex-y5->qsTea.ex-y0
He Ox Tea Oy [break 1] :: *L qsOx.en-ext-1->qsOx |  R qsTea_qsOy->qsTea_qsOy
He Ox Thaw Ing [break 1] :: *L qsOx.en-ext-1->qsOx |  R qsThaw.ex-y0->qsThaw.ex-y0
Oy He No Ah [break 0] ::  L qsOy->qsOy | *R qsHe.half.ex-y5->qsHe.ex-y0
Oy Tea No Ah [break 0] ::  L qsOy->qsOy | *R qsTea.half.ex-y5->qsTea.ex-y0
Ah Oy Tea Oy [break 1] :: *L qsOy.en-y5.ex-y0->qsOy |  R qsTea_qsOy->qsTea_qsOy
Ah Oy Thaw Ing [break 1] :: *L qsOy.en-y5.ex-y0->qsOy |  R qsThaw.ex-y0->qsThaw.ex-y0
Pea Excite It May [break 0] ::  L qsPea->qsPea | *R qsExcite->qsExcite.nonjoining-left
Pea Excite No Day [break 0] ::  L qsPea->qsPea | *R qsExcite.en-y0.ex-y0.before-vertical->qsExcite.en-y0.ex-y0.before-vertical.noentry
Pea Excite It Awe [break 0] ::  L qsPea->qsPea | *R qsExcite.en-y0.ex-y0.before-vertical->qsExcite.nonjoining-left
May Pea Tea Oy [break 1] :: *L qsPea.en-y5.ex-y0->qsPea |  R qsTea_qsOy->qsTea_qsOy
May Pea Thaw Ing [break 1] :: *L qsPea.en-y5.ex-y0->qsPea |  R qsThaw.ex-y0->qsThaw.ex-y0
Ah See Eat [break 1] :: *L qsSee->qsSee_qsEat | *R qsEat->qsSee_qsEat
Ah See Utter [break 1] :: *L qsSee->qsSee_qsUtter | *R qsUtter->qsSee_qsUtter
See Utter May Day [break 0] :: *L qsSee->qsSee_qsUtter | *R qsUtter.alt.ex-y0.before-may->qsSee_qsUtter
See Utter Jai [break 0] :: *L qsSee->qsSee_qsUtter.ex-con-2 | *R qsUtter.ex-con-2->qsSee_qsUtter.ex-con-2
Ye See Fee Awe [break 1] ::  L qsSee.after-ye->qsSee.after-ye | *R qsFee.ex-y5->qsFee
Ye See Fee May [break 1] ::  L qsSee.after-ye->qsSee.after-ye | *R qsFee.ex-y5.before-may.ex-ext-3->qsFee
Ye See Eat [break 1] :: *L qsSee.after-ye->qsSee_qsEat | *R qsEat->qsSee_qsEat
Ye See Utter [break 1] :: *L qsSee.after-ye->qsSee_qsUtter | *R qsUtter->qsSee_qsUtter
Ye See Utter Jai [break 1] :: *L qsSee.after-ye->qsSee_qsUtter.ex-con-2 | *R qsUtter.ex-con-2->qsSee_qsUtter.ex-con-2
See Eat It No [break 1] ::  L qsSee_qsEat->qsSee_qsEat | *R qsIt.ex-y0->qsIt.ex-y5
Tea Excite It May [break 0] ::  L qsTea->qsTea | *R qsExcite->qsExcite.nonjoining-left
Tea Excite No Day [break 0] ::  L qsTea->qsTea | *R qsExcite.en-y0.ex-y0.before-vertical->qsExcite.en-y0.ex-y0.before-vertical.noentry
Tea Excite It Awe [break 0] ::  L qsTea->qsTea | *R qsExcite.en-y0.ex-y0.before-vertical->qsExcite.nonjoining-left
Ah Tea Oy [break 1] :: *L qsTea->qsTea_qsOy | *R qsOy->qsTea_qsOy
She Tea At May [break 1] :: *L qsTea.en-y0->qsTea |  R qsAt.ex-y0.before-may.ex-ext-5->qsAt.ex-y0.before-may.ex-ext-5
Excite Tea Day Eat [break 1] :: *L qsTea.en-y0->qsTea |  R qsDay_qsEat->qsDay_qsEat
Excite Tea It Cheer [break 1] :: *L qsTea.en-y0->qsTea |  R qsIt.en-y0.ex-y5.ex-ext-1->qsIt.en-y0.ex-y5.ex-ext-1
Excite Tea It Day [break 1] :: *L qsTea.en-y0->qsTea |  R qsIt.ex-y0.before-day.after-no-baseline-join->qsIt.ex-y0.before-day.after-no-baseline-join
Excite Tea It Utter [break 1] :: *L qsTea.en-y0->qsTea |  R qsIt.ex-y0.before-utter->qsIt.ex-y0.before-utter
Excite Tea It I [break 1] :: *L qsTea.en-y0->qsTea |  R qsIt.ex-y0.ex-ext-1->qsIt.ex-y0.ex-ext-1
Excite Tea See At [break 1] :: *L qsTea.en-y0->qsTea |  R qsSee.ex-y0->qsSee.ex-y0
Excite Tea See Out [break 1] :: *L qsTea.en-y0->qsTea |  R qsSee.ex-y0.ex-con-1->qsSee.ex-y0.ex-con-1
Excite Tea See Low [break 1] :: *L qsTea.en-y0->qsTea |  R qsSee.ex-y0.ex-ext-2->qsSee.ex-y0.ex-ext-2
Excite Tea See Ooze [break 1] :: *L qsTea.en-y0->qsTea |  R qsSee.ex-y0.ex-y0-right->qsSee.ex-y0.ex-y0-right
Excite Tea See Eat [break 1] :: *L qsTea.en-y0->qsTea |  R qsSee_qsEat->qsSee_qsEat
Excite Tea See Utter [break 1] :: *L qsTea.en-y0->qsTea |  R qsSee_qsUtter->qsSee_qsUtter
Excite Tea Utter May [break 1] :: *L qsTea.en-y0->qsTea |  R qsUtter.alt.ex-y0.before-may->qsUtter.alt.ex-y0.before-may
Awe Tea Oy [break 1] :: *L qsTea.en-y0->qsTea_qsOy | *R qsOy->qsTea_qsOy
Eight Tea Oy [break 1] :: *L qsTea.en-y0.en-ext-1->qsTea_qsOy | *R qsOy->qsTea_qsOy
See Tea Oy [break 1] :: *L qsTea.en-y8->qsTea_qsOy | *R qsOy->qsTea_qsOy
At They Utter [break 1] :: *L qsThey->qsThey_qsUtter.noentry | *R qsUtter->qsThey_qsUtter.noentry
At They Utter May [break 1] :: *L qsThey->qsThey_qsUtter.noentry | *R qsUtter.alt.ex-y0.before-may->qsThey_qsUtter.noentry
At They Utter Bay [break 1] :: *L qsThey->qsThey_qsUtter.noentry | *R qsUtter.ex-ext-1->qsThey_qsUtter.noentry
