         114589989 function calls (109664438 primitive calls) in 19.147 seconds

   Ordered by: cumulative time
   List reduced from 1391 to 70 due to restriction <70>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    27165    0.096    0.000    1.733    0.000 .venv/lib/python3.14/site-packages/fontTools/feaLib/parser.py:433(parse_glyph_pattern_)
   937629    0.093    0.000    0.241    0.000 .venv/lib/python3.14/site-packages/fontTools/misc/textTools.py:150(<genexpr>)
56242/1199    0.092    0.000    0.142    0.000 .venv/lib/python3.14/site-packages/fontTools/ttLib/tables/otBase.py:519(_gatherTables)
   882117    0.092    0.000    0.129    0.000 .venv/lib/python3.14/site-packages/fontTools/ttLib/tables/otBase.py:832(__init__)
    34028    0.089    0.000    0.386    0.000 .venv/lib/python3.14/site-packages/fontTools/otlLib/builder.py:687(newRule_)
   408193    0.087    0.000    0.150    0.000 .venv/lib/python3.14/site-packages/fontTools/ttLib/tables/otBase.py:751(writeUShort)
   442611    0.083    0.000    0.152    0.000 .venv/lib/python3.14/site-packages/fontTools/ttLib/tables/otBase.py:850(getCountData)
184574/26335    0.083    0.000    4.560    0.000 .venv/lib/python3.14/site-packages/fontTools/ttLib/tables/otConverters.py:717(write)
   483552    0.081    0.000    0.120    0.000 .venv/lib/python3.14/site-packages/fontTools/ttLib/tables/otBase.py:285(readValue)
205274/1205    0.081    0.000    4.564    0.004 .venv/lib/python3.14/site-packages/fontTools/ttLib/tables/otConverters.py:186(writeArray)
   946135    0.079    0.000    0.079    0.000 {built-in method __new__ of type object at 0x103400908}
   712101    0.077    0.000    0.113    0.000 .venv/lib/python3.14/site-packages/fontTools/ttLib/ttFont.py:1219(getReverseGlyphMap)
  1231878    0.073    0.000    0.165    0.000 tools/build_font.py:320(<genexpr>)
   443322    0.067    0.000    0.135    0.000 .venv/lib/python3.14/site-packages/fontTools/ttLib/ttFont.py:1198(getGlyphID)
   392691    0.067    0.000    0.090    0.000 .venv/lib/python3.14/site-packages/fontTools/ttLib/tables/otBase.py:889(ensureDecompiled)
    56242    0.064    0.000    0.332    0.000 .venv/lib/python3.14/site-packages/fontTools/ttLib/tables/otBase.py:425(getData)


